2026-04-10 08:59:23,302 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:28,522 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:33,751 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:38,976 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:44,209 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:49,439 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:54,671 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:59,899 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:05,145 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:10,399 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:15,630 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:20,898 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:26,155 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:31,404 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:36,661 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:41,911 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:47,174 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:52,317 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 09:00:52,425 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 09:00:52,562 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:00:57,817 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:03,092 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:08,347 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:13,677 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:18,929 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:24,206 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:29,485 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:34,772 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:40,034 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:45,352 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:50,616 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:01:55,950 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:01,231 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:06,528 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:11,805 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:17,081 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:22,359 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:27,662 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:32,949 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:38,237 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:43,517 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:48,820 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:54,131 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:02:59,435 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:04,886 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:10,280 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:15,612 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:20,917 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:26,205 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 09:03:28,613 | INFO | sector_scanner | Continuous loop stopped by user (KeyboardInterrupt).
2026-04-10 09:03:28,614 | INFO | sector_scanner | Done (loop). state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
