strategy_id,total_return,cagr,mdd,win_rate,profit_factor,avg_gain,avg_loss,avg_holding_days,params_json
strong_close,-0.07778487817689439,-0.10598541562146269,-0.16911005917933075,0.2857142857142857,0.9298247994912185,721020.4176431148,-310174.74175248615,12.26984126984127,"{""exit_ma"": 20, ""threshold"": 0.8}"
strong_close,-0.07778487817689439,-0.10598541562146269,-0.16911005917933075,0.2857142857142857,0.9298247994912185,721020.4176431148,-310174.74175248615,12.26984126984127,"{""exit_ma"": 20, ""threshold"": 0.9}"
mean_reversion,-0.08567795613855922,-0.11655433104052637,-0.1311601500766718,0.4,0.6844995412008614,680313.6348821411,-662589.8133680006,20.142857142857142,"{""window"": 60, ""z_buy"": -1.0, ""z_sell"": -0.5}"
mean_reversion,-0.09210211840459193,-0.1251305738538694,-0.24868537089106113,0.3870967741935484,0.7714890514892565,644800.5525801039,-527865.5004565406,12.435483870967742,"{""window"": 20, ""z_buy"": -2.0, ""z_sell"": -0.5}"
mean_reversion,-0.10290461191162781,-0.13949942581400265,-0.2588473267212079,0.40625,0.7741358910873404,675329.4776771433,-596881.6879282419,12.140625,"{""window"": 20, ""z_buy"": -1.5, ""z_sell"": -0.5}"
ma_volume,-0.1050426381516264,-0.14233547164651772,-0.29613015797152276,0.3698630136986301,0.858773223843769,1106633.139912411,-756364.4517663828,10.479452054794521,
mean_reversion,-0.11457060890645077,-0.15494248829876744,-0.2672548702540881,0.42424242424242425,0.7411583967169079,583442.2233581205,-580044.4251363195,11.787878787878787,"{""window"": 20, ""z_buy"": -1.0, ""z_sell"": -0.5}"
volatility,-0.11460756854835952,-0.15499129089301167,-0.1822149221700562,0.30851063829787234,0.6242670375292286,334839.90977272205,-239304.82407364363,7.74468085106383,"{""exit_ma"": 20, ""low_window"": 40, ""vol_window"": 10}"
mean_reversion,-0.1201823089032431,-0.16234338333218,-0.16620827872620503,0.5104166666666666,0.6978649815420054,282559.0180837404,-422120.05743058264,7.854166666666667,"{""window"": 10, ""z_buy"": -2.0, ""z_sell"": -0.2}"
trend_filter,-0.1329045591711352,-0.17905482945443996,-0.29440293225698044,0.35714285714285715,0.8478358286725999,1707740.9356722846,-1119019.6641580565,14.125,"{""ma"": 60}"
week52_high,-0.1361967621148834,-0.18336409821942645,-0.2036195831434412,0.37209302325581395,0.8182926386380986,1537852.2348947646,-1113684.5180684133,11.069767441860465,"{""exit_ma"": 20, ""window"": 126}"
mean_reversion,-0.14333666465888728,-0.19268809533101083,-0.21571421727785334,0.42592592592592593,0.6983258175002623,337956.24143003323,-359061.2307735724,7.277777777777778,"{""window"": 10, ""z_buy"": -1.0, ""z_sell"": -0.5}"
mean_reversion,-0.14333666465888728,-0.19268809533101083,-0.21571421727785334,0.42592592592592593,0.6983258175002623,337956.24143003323,-359061.2307735724,7.277777777777778,"{""window"": 10, ""z_buy"": -1.5, ""z_sell"": -0.5}"
golden_cross,-0.1641790932163647,-0.21973543591551337,-0.21201664798024866,0.3448275862068966,0.355683045778096,479937.0667045299,-710178.5119043046,13.344827586206897,"{""fast"": 10, ""slow"": 120}"
